Bundling 6%
Bundling 17%
Bundling 64%
Bundling 70%
Bundling 75%
Bundling 80%
Bundling 85%
Bundling 91%
Bundling 98%
Bundling 100%
Getting composition
Composition          Explainer
Codec                h264
Output               ../projects/import-china-india-te/renders/ch13.mp4
Concurrency          8x
Rendered 0/4051
Rendered 1/4051, time remaining: 48m 44s
Rendered 2177/4051, time remaining: 1m 1s
Rendered 2178/4051, time remaining: 1m 2s
Rendered 2179/4051, time remaining: 1m 2s
Rendered 2180/4051, time remaining: 1m 2s
Rendered 2181/4051, time remaining: 1m 2s
Rendered 2182/4051, time remaining: 1m 2s
Rendered 2183/4051, time remaining: 1m 3s
Rendered 2184/4051, time remaining: 1m 1s
Rendered 2185/4051, time remaining: 1m 1s
Rendered 2186/4051, time remaining: 1m 2s
Rendered 2187/4051, time remaining: 1m 2s
Rendered 2188/4051, time remaining: 1m 2s
Rendered 2189/4051, time remaining: 1m 2s
Rendered 2190/4051, time remaining: 1m 2s
Rendered 2191/4051, time remaining: 1m 2s
Rendered 2192/4051, time remaining: 1m 0s
Rendered 2193/4051, time remaining: 1m 0s
Rendered 2194/4051, time remaining: 1m 1s
Rendered 2195/4051, time remaining: 1m 1s
Rendered 2196/4051, time remaining: 1m 1s
Rendered 2197/4051, time remaining: 1m 1s
Rendered 2198/4051, time remaining: 1m 2s
Rendered 2199/4051, time remaining: 1m 1s
Rendered 2200/4051, time remaining: 1m 0s
Rendered 2201/4051, time remaining: 1m 1s
Rendered 2202/4051, time remaining: 1m 2s
Rendered 2203/4051, time remaining: 1m 2s
Rendered 2204/4051, time remaining: 1m 1s
Rendered 2205/4051, time remaining: 1m 1s
Rendered 2206/4051, time remaining: 1m 1s
Rendered 2207/4051, time remaining: 1m 2s
Rendered 2208/4051, time remaining: 1m 0s
Rendered 2209/4051, time remaining: 1m 0s
Rendered 2210/4051, time remaining: 1m 0s
Rendered 2211/4051, time remaining: 1m 1s
Rendered 2212/4051, time remaining: 1m 0s
Rendered 2213/4051, time remaining: 1m 2s
Rendered 2214/4051, time remaining: 1m 2s
Rendered 2215/4051, time remaining: 1m 1s
Rendered 2216/4051, time remaining: 59s
Rendered 2217/4051, time remaining: 59s
Rendered 2218/4051, time remaining: 1m 0s
Rendered 2219/4051, time remaining: 1m 0s
Rendered 2220/4051, time remaining: 1m 0s
Rendered 2221/4051, time remaining: 1m 0s
Rendered 2222/4051, time remaining: 1m 1s
Rendered 2223/4051, time remaining: 1m 1s
Rendered 2224/4051, time remaining: 59s
Rendered 2225/4051, time remaining: 1m 0s
Rendered 2226/4051, time remaining: 1m 0s
Rendered 2227/4051, time remaining: 1m 0s
Rendered 2228/4051, time remaining: 1m 0s
Rendered 2229/4051, time remaining: 1m 0s
Rendered 2230/4051, time remaining: 1m 1s
Rendered 2231/4051, time remaining: 1m 1s
Rendered 2232/4051, time remaining: 59s
Rendered 2233/4051, time remaining: 59s
Rendered 2234/4051, time remaining: 59s
Rendered 2235/4051, time remaining: 1m 0s
Rendered 2236/4051, time remaining: 1m 0s
Rendered 2237/4051, time remaining: 59s
Rendered 2238/4051, time remaining: 59s
Rendered 2239/4051, time remaining: 59s
Rendered 2240/4051, time remaining: 1m 0s
Rendered 2241/4051, time remaining: 1m 0s
Rendered 2242/4051, time remaining: 58s
Rendered 2243/4051, time remaining: 59s
Rendered 2244/4051, time remaining: 59s
Rendered 2245/4051, time remaining: 1m 0s
Rendered 2246/4051, time remaining: 59s
Rendered 2247/4051, time remaining: 59s
Rendered 2248/4051, time remaining: 59s
Rendered 2249/4051, time remaining: 1m 0s
Rendered 2250/4051, time remaining: 58s
Rendered 2251/4051, time remaining: 59s
Rendered 2252/4051, time remaining: 59s
Rendered 2253/4051, time remaining: 59s
Rendered 2254/4051, time remaining: 59s
Rendered 2255/4051, time remaining: 58s
Rendered 2256/4051, time remaining: 59s
Rendered 2257/4051, time remaining: 1m 0s
Rendered 2258/4051, time remaining: 58s
Rendered 2259/4051, time remaining: 58s
Rendered 2260/4051, time remaining: 58s
Rendered 2261/4051, time remaining: 58s
Rendered 2262/4051, time remaining: 59s
Rendered 2263/4051, time remaining: 59s
Rendered 2264/4051, time remaining: 59s
Rendered 2265/4051, time remaining: 59s
Rendered 2266/4051, time remaining: 57s
Rendered 2267/4051, time remaining: 57s
Rendered 2268/4051, time remaining: 57s
Rendered 2269/4051, time remaining: 59s
Rendered 2270/4051, time remaining: 58s
Rendered 2271/4051, time remaining: 59s
Rendered 2272/4051, time remaining: 59s
Rendered 2273/4051, time remaining: 58s
Rendered 2274/4051, time remaining: 57s
Rendered 2275/4051, time remaining: 57s
Rendered 2276/4051, time remaining: 57s
Rendered 2277/4051, time remaining: 57s
Rendered 2278/4051, time remaining: 57s
Rendered 2279/4051, time remaining: 59s
Rendered 2280/4051, time remaining: 58s
Rendered 2281/4051, time remaining: 57s
Rendered 2282/4051, time remaining: 56s
Rendered 2283/4051, time remaining: 57s
Rendered 2284/4051, time remaining: 57s
Rendered 2285/4051, time remaining: 57s
Rendered 2286/4051, time remaining: 57s
Rendered 2287/4051, time remaining: 57s
Rendered 2288/4051, time remaining: 58s
Rendered 2289/4051, time remaining: 57s
Rendered 2290/4051, time remaining: 57s
Rendered 2291/4051, time remaining: 56s
Rendered 2292/4051, time remaining: 57s
Rendered 2293/4051, time remaining: 57s
Rendered 2294/4051, time remaining: 57s
Rendered 2295/4051, time remaining: 57s
Rendered 2296/4051, time remaining: 57s
Rendered 2297/4051, time remaining: 56s
Rendered 2298/4051, time remaining: 56s
Rendered 2299/4051, time remaining: 56s
Rendered 2300/4051, time remaining: 56s
Rendered 2301/4051, time remaining: 56s
Rendered 2302/4051, time remaining: 56s
Rendered 2303/4051, time remaining: 56s
Rendered 2304/4051, time remaining: 56s
Rendered 2305/4051, time remaining: 56s
Rendered 2306/4051, time remaining: 56s
Rendered 2307/4051, time remaining: 57s
Rendered 2308/4051, time remaining: 57s
Rendered 2309/4051, time remaining: 57s
Rendered 2310/4051, time remaining: 57s
Rendered 2311/4051, time remaining: 56s
Rendered 2312/4051, time remaining: 56s
Rendered 2313/4051, time remaining: 55s
Rendered 2314/4051, time remaining: 56s
Rendered 2315/4051, time remaining: 57s
Rendered 2316/4051, time remaining: 57s
Rendered 2317/4051, time remaining: 56s
Rendered 2318/4051, time remaining: 56s
Rendered 2319/4051, time remaining: 56s
Rendered 2320/4051, time remaining: 56s
Rendered 2321/4051, time remaining: 56s
Rendered 2322/4051, time remaining: 56s
Rendered 2323/4051, time remaining: 57s
Rendered 2324/4051, time remaining: 56s
Rendered 2325/4051, time remaining: 56s
Rendered 2326/4051, time remaining: 56s
Rendered 2327/4051, time remaining: 57s
Rendered 2328/4051, time remaining: 56s
Rendered 2329/4051, time remaining: 56s
Rendered 2330/4051, time remaining: 56s
Rendered 2331/4051, time remaining: 56s
Rendered 2332/4051, time remaining: 56s
Rendered 2333/4051, time remaining: 56s
Rendered 2334/4051, time remaining: 56s
Rendered 2335/4051, time remaining: 56s
Rendered 2336/4051, time remaining: 56s
Rendered 2337/4051, time remaining: 56s
Rendered 2338/4051, time remaining: 55s
Rendered 2339/4051, time remaining: 56s
Rendered 2340/4051, time remaining: 56s
Rendered 2341/4051, time remaining: 55s
Rendered 2342/4051, time remaining: 57s
Rendered 2343/4051, time remaining: 57s
Rendered 2344/4051, time remaining: 56s
Rendered 2345/4051, time remaining: 56s
Rendered 2346/4051, time remaining: 56s
Rendered 2347/4051, time remaining: 56s
Rendered 2348/4051, time remaining: 55s
Rendered 2349/4051, time remaining: 56s
Rendered 2350/4051, time remaining: 56s
Rendered 2351/4051, time remaining: 55s
Rendered 2352/4051, time remaining: 55s
Rendered 2353/4051, time remaining: 55s
Rendered 2354/4051, time remaining: 55s
Rendered 2355/4051, time remaining: 55s
Rendered 2356/4051, time remaining: 55s
Rendered 2357/4051, time remaining: 55s
Rendered 2358/4051, time remaining: 55s
Rendered 2359/4051, time remaining: 56s
Rendered 2360/4051, time remaining: 56s
Rendered 2361/4051, time remaining: 56s
Rendered 2362/4051, time remaining: 56s
Rendered 2363/4051, time remaining: 54s
Rendered 2364/4051, time remaining: 54s
Rendered 2365/4051, time remaining: 54s
Rendered 2366/4051, time remaining: 55s
Rendered 2367/4051, time remaining: 56s
Rendered 2368/4051, time remaining: 55s
Rendered 2369/4051, time remaining: 55s
Rendered 2370/4051, time remaining: 56s
Rendered 2371/4051, time remaining: 55s
Rendered 2372/4051, time remaining: 55s
Rendered 2373/4051, time remaining: 55s
Rendered 2374/4051, time remaining: 55s
Rendered 2375/4051, time remaining: 54s
Rendered 2376/4051, time remaining: 54s
Rendered 2377/4051, time remaining: 54s
Rendered 2378/4051, time remaining: 54s
Rendered 2379/4051, time remaining: 54s
Rendered 2380/4051, time remaining: 55s
Rendered 2381/4051, time remaining: 55s
Rendered 2382/4051, time remaining: 55s
Rendered 2383/4051, time remaining: 54s
Rendered 2384/4051, time remaining: 55s
Rendered 2385/4051, time remaining: 54s
Rendered 2386/4051, time remaining: 54s
Rendered 2387/4051, time remaining: 54s
Rendered 2388/4051, time remaining: 55s
Rendered 2389/4051, time remaining: 55s
Rendered 2390/4051, time remaining: 54s
Rendered 2391/4051, time remaining: 54s
Rendered 2392/4051, time remaining: 55s
Rendered 2393/4051, time remaining: 54s
Rendered 2394/4051, time remaining: 54s
Rendered 2395/4051, time remaining: 53s
Rendered 2396/4051, time remaining: 54s
Rendered 2397/4051, time remaining: 55s
Rendered 2398/4051, time remaining: 55s
Rendered 2399/4051, time remaining: 54s
Rendered 2400/4051, time remaining: 54s
Rendered 2401/4051, time remaining: 53s
Rendered 2402/4051, time remaining: 53s
Rendered 2403/4051, time remaining: 54s
Rendered 2404/4051, time remaining: 55s
Rendered 2405/4051, time remaining: 55s
Rendered 2406/4051, time remaining: 54s
Rendered 2407/4051, time remaining: 53s
Rendered 2408/4051, time remaining: 54s
Rendered 2409/4051, time remaining: 53s
Rendered 2410/4051, time remaining: 53s
Rendered 2411/4051, time remaining: 54s
Rendered 2412/4051, time remaining: 54s
Rendered 2413/4051, time remaining: 53s
Rendered 2414/4051, time remaining: 54s
Rendered 2415/4051, time remaining: 54s
Rendered 2416/4051, time remaining: 53s
Rendered 2417/4051, time remaining: 53s
Rendered 2418/4051, time remaining: 53s
Rendered 2419/4051, time remaining: 53s
Rendered 2420/4051, time remaining: 54s
Rendered 2421/4051, time remaining: 53s
Rendered 2422/4051, time remaining: 54s
Rendered 2423/4051, time remaining: 54s
Rendered 2424/4051, time remaining: 54s
Rendered 2425/4051, time remaining: 53s
Rendered 2426/4051, time remaining: 53s
Rendered 2427/4051, time remaining: 53s
Rendered 2428/4051, time remaining: 53s
Rendered 2429/4051, time remaining: 52s
Rendered 2430/4051, time remaining: 54s
Rendered 2431/4051, time remaining: 54s
Rendered 2432/4051, time remaining: 53s
Rendered 2433/4051, time remaining: 53s
Rendered 2434/4051, time remaining: 53s
Rendered 2435/4051, time remaining: 53s
Rendered 2436/4051, time remaining: 53s
Rendered 2437/4051, time remaining: 53s
Rendered 2438/4051, time remaining: 53s
Rendered 2439/4051, time remaining: 53s
Rendered 2440/4051, time remaining: 53s
Rendered 2441/4051, time remaining: 53s
Rendered 2442/4051, time remaining: 52s
Rendered 2443/4051, time remaining: 52s
Rendered 2444/4051, time remaining: 52s
Rendered 2445/4051, time remaining: 53s
Rendered 2446/4051, time remaining: 53s
Rendered 2447/4051, time remaining: 53s
Rendered 2448/4051, time remaining: 54s
Rendered 2449/4051, time remaining: 52s
Rendered 2450/4051, time remaining: 52s
Rendered 2451/4051, time remaining: 52s
Rendered 2452/4051, time remaining: 52s
Rendered 2453/4051, time remaining: 53s
Rendered 2454/4051, time remaining: 53s
Rendered 2455/4051, time remaining: 53s
Rendered 2456/4051, time remaining: 53s
Rendered 2457/4051, time remaining: 51s
Rendered 2458/4051, time remaining: 51s
Rendered 2459/4051, time remaining: 51s
Rendered 2460/4051, time remaining: 52s
Rendered 2461/4051, time remaining: 53s
Rendered 2462/4051, time remaining: 53s
Rendered 2463/4051, time remaining: 53s
Rendered 2464/4051, time remaining: 53s
Rendered 2465/4051, time remaining: 51s
Rendered 2466/4051, time remaining: 51s
Rendered 2467/4051, time remaining: 51s
Rendered 2468/4051, time remaining: 53s
Rendered 2469/4051, time remaining: 52s
Rendered 2470/4051, time remaining: 52s
Rendered 2471/4051, time remaining: 52s
Rendered 2472/4051, time remaining: 53s
Rendered 2473/4051, time remaining: 52s
Rendered 2474/4051, time remaining: 51s
Rendered 2475/4051, time remaining: 52s
Rendered 2476/4051, time remaining: 52s
Rendered 2477/4051, time remaining: 52s
Rendered 2478/4051, time remaining: 52s
Rendered 2479/4051, time remaining: 53s
Rendered 2480/4051, time remaining: 53s
Rendered 2481/4051, time remaining: 52s
Rendered 2482/4051, time remaining: 51s
Rendered 2483/4051, time remaining: 52s
Rendered 2484/4051, time remaining: 51s
Rendered 2485/4051, time remaining: 51s
Rendered 2486/4051, time remaining: 51s
Rendered 2487/4051, time remaining: 51s
Rendered 2488/4051, time remaining: 51s
Rendered 2489/4051, time remaining: 51s
Rendered 2490/4051, time remaining: 52s
Rendered 2491/4051, time remaining: 53s
Rendered 2492/4051, time remaining: 51s
Rendered 2493/4051, time remaining: 51s
Rendered 2494/4051, time remaining: 51s
Rendered 2495/4051, time remaining: 51s
Rendered 2496/4051, time remaining: 51s
Rendered 2497/4051, time remaining: 52s
Rendered 2498/4051, time remaining: 52s
Rendered 2499/4051, time remaining: 51s
Rendered 2500/4051, time remaining: 51s
Rendered 2501/4051, time remaining: 50s
Rendered 2502/4051, time remaining: 50s
Rendered 2503/4051, time remaining: 51s
Rendered 2504/4051, time remaining: 51s
Rendered 2505/4051, time remaining: 52s
Rendered 2506/4051, time remaining: 51s
Rendered 2507/4051, time remaining: 52s
Rendered 2508/4051, time remaining: 52s
Rendered 2509/4051, time remaining: 50s
Rendered 2510/4051, time remaining: 50s
Rendered 2511/4051, time remaining: 50s
Rendered 2512/4051, time remaining: 51s
Rendered 2513/4051, time remaining: 52s
Rendered 2514/4051, time remaining: 52s
Rendered 2515/4051, time remaining: 52s
Rendered 2516/4051, time remaining: 51s
Rendered 2517/4051, time remaining: 50s
Rendered 2518/4051, time remaining: 50s
Rendered 2519/4051, time remaining: 50s
Rendered 2520/4051, time remaining: 51s
Rendered 2521/4051, time remaining: 52s
Rendered 2522/4051, time remaining: 51s
Rendered 2523/4051, time remaining: 50s
Rendered 2524/4051, time remaining: 50s
Rendered 2525/4051, time remaining: 51s
Rendered 2526/4051, time remaining: 51s
Rendered 2527/4051, time remaining: 50s
Rendered 2528/4051, time remaining: 51s
Rendered 2529/4051, time remaining: 51s
Rendered 2530/4051, time remaining: 50s
Rendered 2531/4051, time remaining: 50s
Rendered 2532/4051, time remaining: 50s
Rendered 2533/4051, time remaining: 51s
Rendered 2534/4051, time remaining: 51s
Rendered 2535/4051, time remaining: 51s
Rendered 2536/4051, time remaining: 51s
Rendered 2537/4051, time remaining: 51s
Rendered 2538/4051, time remaining: 50s
Rendered 2539/4051, time remaining: 50s
Rendered 2540/4051, time remaining: 50s
Rendered 2541/4051, time remaining: 51s
Rendered 2542/4051, time remaining: 51s
Rendered 2543/4051, time remaining: 50s
Rendered 2544/4051, time remaining: 51s
Rendered 2545/4051, time remaining: 51s
Rendered 2546/4051, time remaining: 50s
Rendered 2547/4051, time remaining: 50s
Rendered 2548/4051, time remaining: 50s
Rendered 2549/4051, time remaining: 50s
Rendered 2550/4051, time remaining: 51s
Rendered 2551/4051, time remaining: 50s
Rendered 2552/4051, time remaining: 50s
Rendered 2553/4051, time remaining: 51s
Rendered 2554/4051, time remaining: 50s
Rendered 2555/4051, time remaining: 50s
Rendered 2556/4051, time remaining: 50s
Rendered 2557/4051, time remaining: 50s
Rendered 2558/4051, time remaining: 51s
Rendered 2559/4051, time remaining: 50s
Rendered 2560/4051, time remaining: 50s
Rendered 2561/4051, time remaining: 51s
Rendered 2562/4051, time remaining: 50s
Rendered 2563/4051, time remaining: 50s
Rendered 2564/4051, time remaining: 49s
Rendered 2565/4051, time remaining: 49s
Rendered 2566/4051, time remaining: 50s
Rendered 2567/4051, time remaining: 50s
Rendered 2568/4051, time remaining: 50s
Rendered 2569/4051, time remaining: 51s
Rendered 2570/4051, time remaining: 50s
Rendered 2571/4051, time remaining: 50s
Rendered 2572/4051, time remaining: 49s
Rendered 2573/4051, time remaining: 49s
Rendered 2574/4051, time remaining: 50s
Rendered 2575/4051, time remaining: 49s
Rendered 2576/4051, time remaining: 50s
Rendered 2577/4051, time remaining: 50s
Rendered 2578/4051, time remaining: 50s
Rendered 2579/4051, time remaining: 51s
Rendered 2580/4051, time remaining: 50s
Rendered 2581/4051, time remaining: 50s
Rendered 2582/4051, time remaining: 50s
Rendered 2583/4051, time remaining: 50s
Rendered 2584/4051, time remaining: 49s
Rendered 2585/4051, time remaining: 49s
Rendered 2586/4051, time remaining: 50s
Rendered 2587/4051, time remaining: 49s
Rendered 2588/4051, time remaining: 50s
Rendered 2589/4051, time remaining: 50s
Rendered 2590/4051, time remaining: 50s
Rendered 2591/4051, time remaining: 50s
Rendered 2592/4051, time remaining: 50s
Rendered 2593/4051, time remaining: 50s
Rendered 2594/4051, time remaining: 50s
Rendered 2595/4051, time remaining: 48s
Rendered 2596/4051, time remaining: 50s
Rendered 2597/4051, time remaining: 50s
Rendered 2598/4051, time remaining: 51s
Rendered 2599/4051, time remaining: 50s
Rendered 2600/4051, time remaining: 50s
Rendered 2601/4051, time remaining: 50s
Rendered 2602/4051, time remaining: 50s
Rendered 2603/4051, time remaining: 49s
Rendered 2604/4051, time remaining: 50s
Rendered 2605/4051, time remaining: 50s
Rendered 2606/4051, time remaining: 50s
Rendered 2607/4051, time remaining: 51s
Rendered 2608/4051, time remaining: 50s
Rendered 2609/4051, time remaining: 50s
Rendered 2610/4051, time remaining: 49s
Rendered 2611/4051, time remaining: 49s
Rendered 2612/4051, time remaining: 50s
Rendered 2613/4051, time remaining: 50s
Rendered 2614/4051, time remaining: 49s
Rendered 2615/4051, time remaining: 49s
Rendered 2616/4051, time remaining: 49s
Rendered 2617/4051, time remaining: 50s
Rendered 2618/4051, time remaining: 48s
Rendered 2619/4051, time remaining: 49s
Rendered 2620/4051, time remaining: 49s
Rendered 2621/4051, time remaining: 49s
Rendered 2622/4051, time remaining: 49s
Rendered 2623/4051, time remaining: 49s
Rendered 2624/4051, time remaining: 49s
Rendered 2625/4051, time remaining: 49s
Rendered 2626/4051, time remaining: 49s
Rendered 2627/4051, time remaining: 49s
Rendered 2628/4051, time remaining: 49s
Rendered 2629/4051, time remaining: 48s
Rendered 2630/4051, time remaining: 48s
Rendered 2631/4051, time remaining: 48s
Rendered 2632/4051, time remaining: 49s
Rendered 2633/4051, time remaining: 49s
Rendered 2634/4051, time remaining: 49s
Rendered 2635/4051, time remaining: 49s
Rendered 2636/4051, time remaining: 48s
Rendered 2637/4051, time remaining: 49s
Rendered 2638/4051, time remaining: 49s
Rendered 2639/4051, time remaining: 48s
Rendered 2640/4051, time remaining: 48s
Rendered 2641/4051, time remaining: 47s
Rendered 2642/4051, time remaining: 47s
Rendered 2643/4051, time remaining: 48s
Rendered 2644/4051, time remaining: 48s
Rendered 2645/4051, time remaining: 48s
Rendered 2646/4051, time remaining: 49s
Rendered 2647/4051, time remaining: 48s
Rendered 2648/4051, time remaining: 47s
Rendered 2649/4051, time remaining: 47s
Rendered 2650/4051, time remaining: 47s
Rendered 2651/4051, time remaining: 48s
Rendered 2652/4051, time remaining: 49s
Rendered 2653/4051, time remaining: 48s
Rendered 2654/4051, time remaining: 48s
Rendered 2655/4051, time remaining: 47s
Rendered 2656/4051, time remaining: 47s
Rendered 2657/4051, time remaining: 47s
Rendered 2658/4051, time remaining: 47s
Rendered 2659/4051, time remaining: 48s
Rendered 2660/4051, time remaining: 48s
Rendered 2661/4051, time remaining: 48s
Rendered 2662/4051, time remaining: 47s
Rendered 2663/4051, time remaining: 46s
Rendered 2664/4051, time remaining: 47s
Rendered 2665/4051, time remaining: 46s
Rendered 2666/4051, time remaining: 47s
Rendered 2667/4051, time remaining: 47s
Rendered 2668/4051, time remaining: 47s
Rendered 2669/4051, time remaining: 47s
Rendered 2670/4051, time remaining: 46s
Rendered 2671/4051, time remaining: 45s
Rendered 2672/4051, time remaining: 46s
Rendered 2673/4051, time remaining: 46s
Rendered 2674/4051, time remaining: 47s
Rendered 2675/4051, time remaining: 46s
Rendered 2676/4051, time remaining: 47s
Rendered 2677/4051, time remaining: 47s
Rendered 2678/4051, time remaining: 46s
Rendered 2679/4051, time remaining: 46s
Rendered 2680/4051, time remaining: 45s
Rendered 2681/4051, time remaining: 45s
Rendered 2682/4051, time remaining: 46s
Rendered 2683/4051, time remaining: 46s
Rendered 2684/4051, time remaining: 46s
Rendered 2685/4051, time remaining: 46s
Rendered 2686/4051, time remaining: 45s
Rendered 2687/4051, time remaining: 46s
Rendered 2688/4051, time remaining: 46s
Rendered 2689/4051, time remaining: 46s
Rendered 2690/4051, time remaining: 47s
Rendered 2691/4051, time remaining: 46s
Rendered 2692/4051, time remaining: 45s
Rendered 2693/4051, time remaining: 46s
Rendered 2694/4051, time remaining: 45s
Rendered 2695/4051, time remaining: 46s
Rendered 2696/4051, time remaining: 46s
Rendered 2697/4051, time remaining: 45s
Rendered 2698/4051, time remaining: 46s
Rendered 2699/4051, time remaining: 46s
Rendered 2700/4051, time remaining: 45s
Rendered 2701/4051, time remaining: 45s
Rendered 2702/4051, time remaining: 45s
Rendered 2703/4051, time remaining: 44s
Rendered 2704/4051, time remaining: 45s
Rendered 2705/4051, time remaining: 45s
Rendered 2706/4051, time remaining: 45s
Rendered 2707/4051, time remaining: 46s
Rendered 2708/4051, time remaining: 44s
Rendered 2709/4051, time remaining: 44s
Rendered 2710/4051, time remaining: 45s
Rendered 2711/4051, time remaining: 44s
Rendered 2712/4051, time remaining: 44s
Rendered 2713/4051, time remaining: 45s
Rendered 2714/4051, time remaining: 45s
Rendered 2715/4051, time remaining: 45s
Rendered 2716/4051, time remaining: 44s
Rendered 2717/4051, time remaining: 45s
Rendered 2718/4051, time remaining: 45s
Rendered 2719/4051, time remaining: 44s
Rendered 2720/4051, time remaining: 44s
Rendered 2721/4051, time remaining: 44s
Rendered 2722/4051, time remaining: 44s
Rendered 2723/4051, time remaining: 44s
Rendered 2724/4051, time remaining: 44s
Rendered 2725/4051, time remaining: 45s
Rendered 2726/4051, time remaining: 44s
Rendered 2727/4051, time remaining: 44s
Rendered 2728/4051, time remaining: 44s
Rendered 2729/4051, time remaining: 43s
Rendered 2730/4051, time remaining: 43s
Rendered 2731/4051, time remaining: 43s
Rendered 2732/4051, time remaining: 43s
Rendered 2733/4051, time remaining: 43s
Rendered 2734/4051, time remaining: 43s
Rendered 2735/4051, time remaining: 44s
Rendered 2736/4051, time remaining: 44s
Rendered 2737/4051, time remaining: 43s
Rendered 2738/4051, time remaining: 43s
Rendered 2739/4051, time remaining: 43s
Rendered 2740/4051, time remaining: 43s
Rendered 2741/4051, time remaining: 43s
Rendered 2742/4051, time remaining: 43s
Rendered 2743/4051, time remaining: 43s
Rendered 2744/4051, time remaining: 43s
Rendered 2745/4051, time remaining: 43s
Rendered 2746/4051, time remaining: 42s
Rendered 2747/4051, time remaining: 42s
Rendered 2748/4051, time remaining: 42s
Rendered 2749/4051, time remaining: 42s
Rendered 2750/4051, time remaining: 42s
Rendered 2751/4051, time remaining: 43s
Rendered 2752/4051, time remaining: 43s
Rendered 2753/4051, time remaining: 42s
Rendered 2754/4051, time remaining: 41s
Rendered 2755/4051, time remaining: 41s
Rendered 2756/4051, time remaining: 42s
Rendered 2757/4051, time remaining: 42s
Rendered 2758/4051, time remaining: 42s
Rendered 2759/4051, time remaining: 42s
Rendered 2760/4051, time remaining: 42s
Rendered 2761/4051, time remaining: 41s
Rendered 2762/4051, time remaining: 42s
Rendered 2763/4051, time remaining: 42s
Rendered 2764/4051, time remaining: 42s
Rendered 2765/4051, time remaining: 42s
Rendered 2766/4051, time remaining: 42s
Rendered 2767/4051, time remaining: 41s
Rendered 2768/4051, time remaining: 42s
Rendered 2769/4051, time remaining: 42s
Rendered 2770/4051, time remaining: 41s
Rendered 2771/4051, time remaining: 41s
Rendered 2772/4051, time remaining: 42s
Rendered 2773/4051, time remaining: 42s
Rendered 2774/4051, time remaining: 42s
Rendered 2775/4051, time remaining: 41s
Rendered 2776/4051, time remaining: 41s
Rendered 2777/4051, time remaining: 41s
Rendered 2778/4051, time remaining: 41s
Rendered 2779/4051, time remaining: 41s
Rendered 2780/4051, time remaining: 41s
Rendered 2781/4051, time remaining: 42s
Rendered 2782/4051, time remaining: 41s
Rendered 2783/4051, time remaining: 41s
Rendered 2784/4051, time remaining: 41s
Rendered 2785/4051, time remaining: 41s
Rendered 2786/4051, time remaining: 41s
Rendered 2787/4051, time remaining: 41s
Rendered 2788/4051, time remaining: 41s
Rendered 2789/4051, time remaining: 42s
Rendered 2790/4051, time remaining: 41s
Rendered 2791/4051, time remaining: 41s
Rendered 2792/4051, time remaining: 41s
Rendered 2793/4051, time remaining: 40s
Rendered 2794/4051, time remaining: 40s
Rendered 2795/4051, time remaining: 40s
Rendered 2796/4051, time remaining: 40s
Rendered 2797/4051, time remaining: 41s
Rendered 2798/4051, time remaining: 41s
Rendered 2799/4051, time remaining: 41s
Rendered 2800/4051, time remaining: 41s
Rendered 2801/4051, time remaining: 40s
Rendered 2802/4051, time remaining: 40s
Rendered 2803/4051, time remaining: 40s
Rendered 2804/4051, time remaining: 41s
Rendered 2805/4051, time remaining: 40s
Rendered 2806/4051, time remaining: 40s
Rendered 2807/4051, time remaining: 40s
Rendered 2808/4051, time remaining: 40s
Rendered 2809/4051, time remaining: 40s
Rendered 2810/4051, time remaining: 41s
Rendered 2811/4051, time remaining: 41s
Rendered 2812/4051, time remaining: 40s
Rendered 2813/4051, time remaining: 40s
Rendered 2814/4051, time remaining: 40s
Rendered 2815/4051, time remaining: 40s
Rendered 2816/4051, time remaining: 39s
Rendered 2817/4051, time remaining: 40s
Rendered 2818/4051, time remaining: 40s
Rendered 2819/4051, time remaining: 40s
Rendered 2820/4051, time remaining: 40s
Rendered 2821/4051, time remaining: 40s
Rendered 2822/4051, time remaining: 40s
Rendered 2823/4051, time remaining: 40s
Rendered 2824/4051, time remaining: 39s
Rendered 2825/4051, time remaining: 39s
Rendered 2826/4051, time remaining: 40s
Rendered 2827/4051, time remaining: 40s
Rendered 2828/4051, time remaining: 40s
Rendered 2829/4051, time remaining: 40s
Rendered 2830/4051, time remaining: 41s
Rendered 2831/4051, time remaining: 41s
Rendered 2832/4051, time remaining: 40s
Rendered 2833/4051, time remaining: 39s
Rendered 2834/4051, time remaining: 39s
Rendered 2835/4051, time remaining: 40s
Rendered 2836/4051, time remaining: 40s
Rendered 2837/4051, time remaining: 40s
Rendered 2838/4051, time remaining: 40s
Rendered 2839/4051, time remaining: 40s
Rendered 2840/4051, time remaining: 39s
Rendered 2841/4051, time remaining: 39s
Rendered 2842/4051, time remaining: 39s
Rendered 2843/4051, time remaining: 39s
Rendered 2844/4051, time remaining: 39s
Rendered 2845/4051, time remaining: 39s
Rendered 2846/4051, time remaining: 39s
Rendered 2847/4051, time remaining: 40s
Rendered 2848/4051, time remaining: 39s
Rendered 2849/4051, time remaining: 39s
Rendered 2850/4051, time remaining: 39s
Rendered 2851/4051, time remaining: 39s
Rendered 2852/4051, time remaining: 39s
Rendered 2853/4051, time remaining: 39s
Rendered 2854/4051, time remaining: 39s
Rendered 2855/4051, time remaining: 39s
Rendered 2856/4051, time remaining: 39s
Rendered 2857/4051, time remaining: 39s
Rendered 2858/4051, time remaining: 39s
